Name,ID,Instagram,Wikipedia,SpotifyFollowers,MonthlyListeners,Singles,TopTrackPlays,EarliestAlbum,MonthSinceRelease,Albums,AppearsOn,DiscoveredOn
BXNFXM,1DbWJGpTRwaPMib4OhPcuv,https://instagram.com/bxnfxm/,-1,3532,73546,5,743818,-1,-1,0,1,94
Laurence Equilbey,3UzPUByZ2mlcfGjh24HtUS,-1,-1,2265,104967,3,2100305,2017-11-03,57,38,44,92
RXPTRS,6wZR4nBBIVGgEzBBtkzkJ8,https://instagram.com/rxptrs,-1,4185,26559,8,998225,2022-06-24,2,1,0,87
Scarlxrd,6rYogEVj60BCIsLukpAnwr,https://instagram.com/scarlxrd,-1,1205284,1193632,51,96315103,2017-09-29,59,14,7,91
Dzharakhov,7oxIi3tF8bOBxAcSixbojj,https://instagram.com/dlgreez,-1,371739,288944,29,24428134,2018-09-19,47,2,12,92
SIDEPIECE,5czbzNZZfWpyFgZyfT3Mkk,https://instagram.com/youasidepiece,-1,42145,4681679,19,210984833,-1,-1,0,29,94
Eearz,1gM6j9hjPg1Mfkq0yPNRP3,-1,-1,6934,190702,9,19004070,2015-10-09,82,3,65,92
LBS Kee'vin,7CnxjDbOLSjMEAcyehjztA,https://instagram.com/lbskeevin/,-1,16765,104204,27,3829714,2020-04-24,28,2,29,92
Z-Trip,0YUefH6Li1IsJBtlUWgtwc,https://instagram.com/ztrip,https://en.wikipedia.org/wiki/Z-Trip,19058,82708,2,2838462,2005-01-01,211,3,24,87
Blues Traveler,3pHeBYl1yujXcZqqfF1UyQ,https://instagram.com/bluestraveler,https://en.wikipedia.org/wiki/Blues_Traveler,559771,2121146,9,100704092,2001-05-08,255,17,49,90
MDP,4AFr6iRQPfgys6kZtGBYcY,https://instagram.com/mdu.be,-1,75672,68718,9,2426412,2018-09-21,47,1,0,93
Jquiv,5wZeSMHZ9rffilK8jxMdjV,-1,-1,8,2297,1,220831,-1,-1,0,1,12
Filter,01WjpKiWVNurV5hjIadB8C,-1,-1,445709,2042653,10,73901067,1995-04-14,328,11,21,89
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,https://instagram.com/PMJofficial,https://en.wikipedia.org/wiki/Postmodern_Jukebox,915597,1272218,26,51933568,2018-11-02,45,34,1,86
VCTRE,45B2tXcwmZXjfCbK6c3oqu,https://instagram.com/vctre_,-1,7412,33732,18,853112,2019-12-21,32,1,10,93
Kurtis Conner,3E5bEHs7YziZG0ELHmYnHl,-1,-1,42024,31155,2,1399946,-1,-1,0,0,93
Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,https://instagram.com/RichMusicLTD,-1,229609,3750242,2,357978575,2019-10-11,34,2,0,93
Jvvi Rodriguez,6onPiofLyuyXHUboIRv3Oe,-1,-1,33,43,7,48613,-1,-1,0,1,1
YMN Gus,2IqWLysLFRwjUtR7qOrXLC,https://instagram.com/offical.ymngus/,-1,453,5005,6,104522,2021-12-05,8,1,3,72
AQ,6rYTTx9HCMsfRL3GBecubd,https://instagram.com/aqwuzhere,-1,2453,43324,25,1071250,2019-12-12,32,1,2,89
